ÈÕÆÚ,ÖÐ¼ä¼Û,³®Âò¼Û,»ãÂò¼Û,³®/»ãÂô¼Û,ÕÇµø¶î,ÕÇµø·ù
2004-12-24,7.9601,7.9063,7.9662,8.0062,0.0376,0.4746%
2004-12-23,7.9225,7.8605,7.9200,7.9597,-0.0438,-0.5498%
2004-12-22,7.9663,7.8462,7.9056,7.9452,0.0402,0.5072%
2004-12-21,7.9261,7.8688,7.9284,7.9681,-0.0027,-0.0341%
2004-12-17,7.9288,7.8278,7.8871,7.9266,0.0426,0.5402%
2004-12-15,7.8862,7.7647,7.8236,7.8628,0.0061,0.0774%
2004-12-14,7.8801,7.8214,7.8807,7.9202,0.0239,0.3042%
2004-12-13,7.8562,7.7658,7.8247,7.8639,-0.0897,-1.1289%
2004-12-10,7.9459,7.8297,7.8890,7.9285,-0.0593,-0.7408%
2004-12-09,8.0052,7.8854,7.9452,7.9850,-0.0826,-1.0213%
2004-12-03,8.0878,7.9404,8.0006,8.0407,0.0397,0.4933%
2004-12-02,8.0481,7.9822,8.0427,8.0830,0.0264,0.3291%
2004-12-01,8.0217,7.9547,8.0150,8.0551,-0.0211,-0.2623%
2004-11-30,8.0428,7.9624,8.0227,8.0630,-0.0069,-0.0857%
2004-11-26,8.0497,8.0005,8.0611,8.1015,0.0609,0.7623%
2004-11-25,7.9888,7.9678,8.0282,8.0685,-0.0083,-0.1038%
2004-11-24,7.9971,7.9278,7.9878,8.0279,-0.0045,-0.0562%
2004-11-23,8.0016,7.9424,8.0025,8.0426,0.0553,0.6959%
2004-11-22,7.9463,7.9493,8.0095,8.0497,-0.0232,-0.2911%
2004-11-19,7.9695,7.8571,7.9166,7.9563,0.1222,1.5572%
2004-11-18,7.8473,7.8733,7.9329,7.9727,0.0035,0.0446%
2004-11-17,7.8438,7.7773,7.8362,7.8755,-0.0168,-0.2137%
2004-11-16,7.8606,7.7821,7.8410,7.8803,0.0572,0.7330%
2004-11-15,7.8034,7.7537,7.8125,7.8516,0.0713,0.9221%
