ÈÕÆÚ,ÖÐ¼ä¼Û,³®Âò¼Û,»ãÂò¼Û,³®/»ãÂô¼Û,ÕÇµø¶î,ÕÇµø·ù
2000-12-29,7.2342,7.0533,7.2197,7.2487,0.0000,0.0000%
2000-12-28,7.2342,7.0533,7.2197,7.2487,-0.0139,-0.1918%
2000-12-27,7.2481,7.0669,7.2336,7.2626,-0.0367,-0.5038%
2000-12-26,7.2848,7.1026,7.2702,7.2993,-0.0432,-0.5895%
2000-12-25,7.3280,7.1448,7.3134,7.3427,0.0246,0.3368%
2000-12-22,7.3034,7.1911,7.3608,7.3903,0.0000,0.0000%
2000-12-21,7.3034,7.1911,7.3608,7.3903,-0.0362,-0.4932%
2000-12-20,7.3396,7.1561,7.3250,7.3543,-0.0347,-0.4706%
2000-12-19,7.3743,7.1800,7.3493,7.3788,0.0179,0.2433%
2000-12-18,7.3564,7.1916,7.3613,7.3908,0.0062,0.0844%
2000-12-15,7.3502,7.1748,7.3441,7.3735,-0.0110,-0.1494%
2000-12-14,7.3612,7.2123,7.3825,7.4121,-0.0425,-0.5740%
2000-12-13,7.4037,7.1881,7.3577,7.3872,-0.0476,-0.6388%
2000-12-12,7.4513,7.2417,7.4126,7.4423,-0.0048,-0.0644%
2000-12-11,7.4561,7.2847,7.4566,7.4864,-0.0347,-0.4632%
2000-12-08,7.4908,7.3036,7.4759,7.5058,0.0000,0.0000%
2000-12-07,7.4908,7.3036,7.4759,7.5058,0.0273,0.3658%
2000-12-06,7.4635,7.3191,7.4918,7.5218,0.0161,0.2162%
2000-12-05,7.4474,7.2612,7.4325,7.4623,-0.0041,-0.0550%
2000-12-04,7.4515,7.2652,7.4366,7.4664,-0.0006,-0.0081%
2000-12-01,7.4521,7.3125,7.4850,7.5150,0.0000,0.0000%
2000-11-30,7.4521,7.3125,7.4850,7.5150,-0.0637,-0.8475%
2000-11-29,7.5158,7.2586,7.4298,7.4596,0.0197,0.2628%
2000-11-28,7.4961,7.3284,7.5013,7.5313,0.0580,0.7798%
2000-11-27,7.4381,7.3002,7.4724,7.5023,-0.0655,-0.8729%
