ÈÕÆÚ,ÖÐ¼ä¼Û,³®Âò¼Û,»ãÂò¼Û,³®/»ãÂô¼Û,ÕÇµø¶î,ÕÇµø·ù
2005-12-30,6.8466,6.7080,6.8525,6.9075,0.0000,0.0000%
2005-12-29,6.8466,6.6736,6.8173,6.8721,-0.0447,-0.6486%
2005-12-28,6.8913,6.7176,6.8623,6.9174,-0.0318,-0.4593%
2005-12-27,6.9231,6.7230,6.8678,6.9229,0.0009,0.0130%
2005-12-26,6.9222,6.7660,6.9118,6.9673,0.0625,0.9111%
2005-12-23,6.8597,6.7567,6.9022,6.9576,-0.0387,-0.5610%
2005-12-22,6.8984,6.6986,6.8429,6.8979,-0.0097,-0.1404%
2005-12-21,6.9081,6.7273,6.8721,6.9273,-0.0164,-0.2368%
2005-12-20,6.9245,6.7474,6.8927,6.9481,-0.0264,-0.3798%
2005-12-19,6.9509,6.7801,6.9261,6.9817,0.0000,0.0000%
2005-12-16,6.9509,6.7824,6.9285,6.9841,0.0490,0.7099%
2005-12-15,6.9019,6.7517,6.8971,6.9525,0.1620,2.4036%
2005-12-14,6.7399,6.6248,6.7675,6.8218,0.0590,0.8831%
2005-12-13,6.6809,6.5746,6.7162,6.7702,0.0000,0.0000%
2005-12-12,6.6809,6.5389,6.6797,6.7333,-0.0326,-0.4856%
2005-12-09,6.7135,6.5338,6.6746,6.7282,0.0274,0.4098%
2005-12-08,6.6861,6.5389,6.6798,6.7334,0.0081,0.1213%
2005-12-07,6.6780,6.5030,6.6430,6.6964,0.0215,0.3230%
2005-12-06,6.6565,6.5117,6.6519,6.7054,-0.0389,-0.5810%
2005-12-05,6.6954,6.4965,6.6364,6.6897,-0.0396,-0.5880%
2005-12-02,6.7350,6.5376,6.6784,6.7320,-0.0323,-0.4773%
2005-12-01,6.7673,6.5757,6.7174,6.7713,-0.0193,-0.2844%
2005-11-30,6.7866,6.5822,6.7240,6.7780,0.0447,0.6630%
2005-11-29,6.7419,6.6086,6.7509,6.8051,-0.0365,-0.5385%
2005-11-28,6.7784,6.5758,6.7174,6.7714,0.0000,0.0000%
2005-11-25,6.7784,6.6023,6.7445,6.7986,-0.0339,-0.4976%
2005-11-24,6.8123,6.6360,6.7789,6.8334,0.0272,0.4009%
2005-11-23,6.7851,6.6482,6.7914,6.8460,0.0170,0.2512%
2005-11-22,6.7681,6.6154,6.7579,6.8121,-0.0142,-0.2094%
2005-11-21,6.7823,6.6133,6.7558,6.8100,0.0000,0.0000%
2005-11-18,6.7823,6.6186,6.7612,6.8155,-0.0127,-0.1869%
2005-11-17,6.7950,6.6470,6.7902,6.8447,-0.0043,-0.0632%
2005-11-16,6.7993,6.6252,6.7679,6.8223,-0.0492,-0.7184%
2005-11-15,6.8485,6.6325,6.7753,6.8297,-0.0150,-0.2185%
2005-11-14,6.8635,6.6752,6.8190,6.8738,0.0033,0.0481%
2005-11-11,6.8602,6.6703,6.8139,6.8687,-0.0250,-0.3631%
2005-11-10,6.8852,6.6952,6.8394,6.8943,0.0304,0.4435%
2005-11-09,6.8548,6.7205,6.8653,6.9204,-0.0032,-0.0467%
2005-11-08,6.8580,6.6875,6.8315,6.8864,-0.0095,-0.1383%
2005-11-07,6.8675,6.6631,6.8066,6.8613,-0.0447,-0.6467%
2005-11-04,6.9122,6.6978,6.8421,6.8970,-0.0026,-0.0376%
2005-11-03,6.9148,6.7442,6.8895,6.9448,-0.0161,-0.2323%
2005-11-02,6.9309,6.7565,6.9020,6.9575,0.0000,0.0000%
2005-11-01,6.9309,6.7600,6.9056,6.9611,-0.0517,-0.7404%
2005-10-31,6.9826,6.8190,6.9658,7.0218,-0.0371,-0.5285%
2005-10-28,7.0197,6.8446,6.9920,7.0482,0.0195,0.2786%
2005-10-27,7.0002,6.8373,6.9845,7.0406,0.0103,0.1474%
2005-10-26,6.9899,6.8313,6.9784,7.0345,-0.0044,-0.0629%
2005-10-25,6.9943,6.8412,6.9885,7.0446,-0.0233,-0.3320%
2005-10-24,7.0176,6.8064,6.9530,7.0089,0.0203,0.2901%
2005-10-21,6.9973,6.8311,6.9783,7.0343,0.0129,0.1847%
2005-10-20,6.9844,6.8242,6.9711,7.0271,0.0000,0.0000%
2005-10-19,6.9844,6.8295,6.9766,7.0326,-0.0955,-1.3489%
2005-10-18,7.0799,6.8379,6.9852,7.0413,0.0000,0.0000%
2005-10-17,7.0799,6.8878,7.0362,7.0927,0.0240,0.3401%
2005-10-14,7.0559,6.8741,7.0222,7.0786,0.0037,0.0525%
2005-10-13,7.0522,6.8645,7.0124,7.0687,0.0000,0.0000%
2005-10-12,7.0522,6.8863,7.0347,7.0912,-0.0355,-0.5009%
2005-10-11,7.0877,6.9061,7.0548,7.1115,-0.0289,-0.4061%
2005-10-10,7.1166,6.8991,7.0477,7.1043,0.0339,0.4786%
2005-10-09,7.0827,6.9333,7.0827,7.1396,-0.0702,-0.9814%
2005-10-08,7.1529,6.9354,7.0848,7.1417,0.0000,0.0000%
2005-09-30,7.1529,6.9700,7.1201,7.1773,-0.0133,-0.1856%
2005-09-29,7.1662,6.9968,7.1475,7.2049,-0.0054,-0.0753%
2005-09-28,7.1716,6.9669,7.1170,7.1742,-0.0250,-0.3474%
2005-09-27,7.1966,6.9878,7.1383,7.1956,0.0000,0.0000%
2005-09-26,7.1966,7.0071,7.1581,7.2157,-0.0647,-0.8910%
2005-09-23,7.2613,7.0634,7.2155,7.2735,0.0267,0.3691%
2005-09-22,7.2346,7.0876,7.2402,7.2984,-0.0351,-0.4828%
2005-09-21,7.2697,7.0408,7.1925,7.2502,0.0124,0.1709%
2005-09-20,7.2573,7.0759,7.2283,7.2863,-0.0528,-0.7223%
2005-09-19,7.3101,7.0752,7.2276,7.2856,0.0035,0.0479%
2005-09-16,7.3066,7.1239,7.2773,7.3358,-0.0047,-0.0643%
2005-09-15,7.3113,7.1519,7.3060,7.3646,-0.0037,-0.0506%
2005-09-14,7.3150,7.1321,7.2857,7.3442,-0.0474,-0.6438%
2005-09-13,7.3624,7.1565,7.3107,7.3694,0.0346,0.4722%
2005-09-12,7.3278,7.2233,7.3788,7.4381,-0.0062,-0.0845%
2005-09-09,7.3340,7.1396,7.2934,7.3520,-0.0438,-0.5937%
2005-09-08,7.3778,7.1641,7.3184,7.3772,0.9672,15.0875%
2005-09-07,6.4106,6.2676,6.4026,6.4540,-0.9874,-13.3469%
2005-09-06,7.3980,7.2131,7.3684,7.4276,0.0245,0.3323%
2005-09-05,7.3735,7.1891,7.3440,7.4030,0.0744,1.0193%
2005-09-02,7.2991,7.1825,7.3372,7.3962,0.0337,0.4638%
2005-09-01,7.2654,7.1382,7.2919,7.3505,-0.0316,-0.4331%
2005-08-31,7.2970,7.0917,7.2445,7.3027,-0.0418,-0.5696%
2005-08-30,7.3388,7.1269,7.2804,7.3389,-0.0447,-0.6054%
2005-08-29,7.3835,7.1650,7.3194,7.3782,0.0126,0.1709%
2005-08-26,7.3709,7.1752,7.3297,7.3886,0.0474,0.6472%
2005-08-25,7.3235,7.1621,7.3163,7.3751,-0.0456,-0.6188%
2005-08-24,7.3691,7.1849,7.3396,7.3986,0.0074,0.1005%
2005-08-23,7.3617,7.1999,7.3550,7.4140,0.0265,0.3613%
2005-08-22,7.3352,7.1519,7.3059,7.3646,-0.0158,-0.2149%
2005-08-19,7.3510,7.1467,7.3006,7.3593,-0.0251,-0.3403%
2005-08-18,7.3761,7.1917,7.3466,7.4056,-0.0536,-0.7214%
2005-08-17,7.4297,7.1997,7.3548,7.4138,0.0438,0.5930%
2005-08-16,7.3859,7.2190,7.3745,7.4337,0.0000,0.0000%
2005-08-15,7.3859,7.2188,7.3743,7.4335,0.0464,0.6322%
2005-08-12,7.3395,7.1984,7.3534,7.4125,0.0473,0.6486%
2005-08-11,7.2922,7.0587,7.2931,7.3516,0.0409,0.5640%
2005-08-10,7.2513,6.9903,7.2223,7.2803,0.0215,0.2974%
2005-08-09,7.2298,6.9696,7.2009,7.2588,-0.0578,-0.7931%
2005-08-08,7.2876,6.9610,7.1921,7.2498,-0.0026,-0.0357%
2005-08-05,7.2902,7.0278,7.2610,7.3194,0.0347,0.4783%
2005-08-04,7.2555,7.0270,7.2603,7.3186,-0.0204,-0.2804%
2005-08-03,7.2759,7.0140,7.2468,7.3050,0.0493,0.6822%
2005-08-02,7.2266,6.9559,7.1868,7.2445,-0.0061,-0.0843%
2005-08-01,7.2327,6.9348,7.1650,7.2226,0.0347,0.4821%
2005-07-29,7.1980,6.9631,7.1943,7.2521,0.0026,0.0361%
2005-07-28,7.1954,6.9598,7.1908,7.2486,-0.0542,-0.7476%
2005-07-27,7.2496,6.9514,7.1822,7.2399,0.0075,0.1036%
2005-07-26,7.2421,7.0061,7.2387,7.2968,-0.0638,-0.8733%
2005-07-25,7.3059,7.0152,7.2480,7.3062,-0.0444,-0.6041%
2005-07-22,7.3503,7.0857,7.3209,7.3797,0.0370,0.5059%
2005-07-21,7.3133,7.2697,7.3248,7.3615,-0.0644,-0.8729%
2005-07-20,7.3777,7.2588,7.3138,7.3505,-0.0088,-0.1191%
2005-07-19,7.3865,7.3243,7.3798,7.4168,0.0061,0.0827%
2005-07-18,7.3804,7.2960,7.3512,7.3881,-0.0173,-0.2339%
2005-07-15,7.3977,7.2979,7.3532,7.3901,-0.0419,-0.5632%
2005-07-14,7.4396,7.3204,7.3759,7.4128,0.0080,0.1076%
2005-07-13,7.4316,7.3861,7.4420,7.4793,0.0407,0.5507%
2005-07-12,7.3909,7.3345,7.3901,7.4271,0.0276,0.3748%
