ÈÕÆÚ,ÖÐ¼ä¼Û,³®Âò¼Û,»ãÂò¼Û,³®/»ãÂô¼Û,ÕÇµø¶î,ÕÇµø·ù
2006-12-29,6.5630,6.3972,6.5350,6.5875,-0.0135,-0.2053%
2006-12-28,6.5765,6.4149,6.5531,6.6057,0.0048,0.0730%
2006-12-27,6.5717,6.4271,6.5656,6.6183,-0.0036,-0.0548%
2006-12-26,6.5753,6.4101,6.5482,6.6008,-0.0106,-0.1609%
2006-12-25,6.5859,6.4220,6.5603,6.6130,-0.0190,-0.2877%
2006-12-22,6.6049,6.4408,6.5796,6.6324,-0.0001,-0.0015%
2006-12-21,6.6050,6.4426,6.5814,6.6342,-0.0102,-0.1542%
2006-12-20,6.6152,6.4507,6.5897,6.6426,-0.0162,-0.2443%
2006-12-19,6.6314,6.4582,6.5973,6.6503,-0.0009,-0.0136%
2006-12-18,6.6323,6.4654,6.6047,6.6577,0.0087,0.1313%
2006-12-15,6.6236,6.4602,6.5994,6.6524,-0.0309,-0.4643%
2006-12-14,6.6545,6.4936,6.6335,6.6868,-0.0385,-0.5752%
2006-12-13,6.6930,6.5204,6.6608,6.7143,-0.0111,-0.1656%
2006-12-12,6.7041,6.5351,6.6758,6.7294,-0.0276,-0.4100%
2006-12-11,6.7317,6.5382,6.6791,6.7327,-0.0593,-0.8732%
2006-12-08,6.7910,6.6124,6.7548,6.8091,-0.0134,-0.1969%
2006-12-07,6.8044,6.6425,6.7856,6.8401,-0.0056,-0.0822%
2006-12-06,6.8100,6.6463,6.7895,6.8440,0.0203,0.2990%
2006-12-05,6.7897,6.6453,6.7884,6.8430,0.0022,0.0324%
2006-12-04,6.7875,6.6019,6.7441,6.7983,0.0132,0.1949%
2006-12-01,6.7743,6.5769,6.7186,6.7726,0.0370,0.5492%
2006-11-30,6.7373,6.5750,6.7166,6.7706,-0.0331,-0.4889%
2006-11-29,6.7704,6.5812,6.7230,6.7770,0.0060,0.0887%
2006-11-28,6.7644,6.5735,6.7151,6.7690,-0.0143,-0.2110%
2006-11-27,6.7787,6.5777,6.7194,6.7734,0.0331,0.4907%
2006-11-24,6.7456,6.6023,6.7445,6.7987,0.0125,0.1856%
2006-11-23,6.7331,6.5856,6.7274,6.7815,0.0606,0.9082%
2006-11-22,6.6725,6.5294,6.6700,6.7236,0.0040,0.0600%
2006-11-21,6.6685,6.5029,6.6430,6.6963,-0.0047,-0.0704%
2006-11-20,6.6732,6.5048,6.6450,6.6983,0.0134,0.2012%
2006-11-17,6.6598,6.4955,6.6354,6.6887,-0.0119,-0.1784%
2006-11-16,6.6717,6.4898,6.6296,6.6829,-0.0178,-0.2661%
2006-11-15,6.6895,6.5092,6.6494,6.7028,0.0073,0.1092%
2006-11-14,6.6822,6.5258,6.6664,6.7199,-0.0166,-0.2478%
2006-11-13,6.6988,6.5213,6.6617,6.7152,0.0191,0.2859%
2006-11-10,6.6797,6.5302,6.6708,6.7244,0.0093,0.1394%
2006-11-09,6.6704,6.5144,6.6547,6.7081,-0.0194,-0.2900%
2006-11-08,6.6898,6.5328,6.6735,6.7271,0.0224,0.3360%
2006-11-07,6.6674,6.5195,6.6599,6.7134,-0.0081,-0.1213%
2006-11-06,6.6755,6.4888,6.6286,6.6818,-0.0426,-0.6341%
2006-11-03,6.7181,6.5518,6.6929,6.7466,0.0068,0.1013%
2006-11-02,6.7113,6.5660,6.7074,6.7613,-0.0255,-0.3785%
2006-11-01,6.7368,6.5623,6.7036,6.7574,0.0385,0.5748%
2006-10-31,6.6983,6.5301,6.6707,6.7243,-0.0053,-0.0791%
2006-10-30,6.7036,6.5412,6.6821,6.7357,0.0523,0.7863%
2006-10-27,6.6513,6.4851,6.6247,6.6780,0.0143,0.2155%
2006-10-26,6.6370,6.4778,6.6174,6.6705,0.0139,0.2099%
2006-10-25,6.6231,6.4664,6.6057,6.6588,-0.0013,-0.0196%
2006-10-24,6.6244,6.4474,6.5863,6.6392,-0.0320,-0.4807%
2006-10-23,6.6564,6.4739,6.6133,6.6664,-0.0172,-0.2577%
2006-10-20,6.6736,6.5128,6.6531,6.7065,0.0224,0.3368%
2006-10-19,6.6512,6.5015,6.6415,6.6949,-0.0125,-0.1876%
2006-10-18,6.6637,6.4943,6.6341,6.6874,0.0141,0.2120%
2006-10-17,6.6496,6.4962,6.6361,6.6894,0.0385,0.5824%
2006-10-16,6.6111,6.4691,6.6084,6.6615,-0.0200,-0.3016%
2006-10-13,6.6311,6.4524,6.5913,6.6443,0.0178,0.2692%
2006-10-12,6.6133,6.4645,6.6037,6.6567,-0.0002,-0.0030%
2006-10-11,6.6135,6.4580,6.5971,6.6501,-0.0348,-0.5234%
2006-10-10,6.6483,6.4574,6.5965,6.6495,-0.0080,-0.1202%
