ÈÕÆÚ,ÖÐ¼ä¼Û,³®Âò¼Û,»ãÂò¼Û,³®/»ãÂô¼Û,ÕÇµø¶î,ÕÇµø·ù
1998-12-31,7.1719,7.0143,7.1798,7.2086,0.0000,0.0000%
1998-12-30,7.1719,7.0143,7.1798,7.2086,0.0101,0.1410%
1998-12-29,7.1618,6.9827,7.1474,7.1761,0.0828,1.1697%
1998-12-28,7.0790,6.9580,7.1221,7.1507,-0.0576,-0.8071%
1998-12-25,7.1366,6.9582,7.1224,7.1509,0.0000,0.0000%
1998-12-24,7.1366,6.9582,7.1224,7.1509,0.0286,0.4024%
1998-12-23,7.1080,6.9684,7.1328,7.1614,-0.0183,-0.2568%
1998-12-22,7.1263,6.9177,7.0809,7.1093,-0.0494,-0.6884%
1998-12-21,7.1757,6.9682,7.1326,7.1612,0.0660,0.9283%
1998-12-20,7.1097,6.9620,7.1262,7.1548,-0.0063,-0.0885%
1998-12-17,7.1160,6.9381,7.1018,7.1302,0.0205,0.2889%
1998-12-16,7.0955,6.8937,7.0564,7.0847,-0.0125,-0.1759%
1998-12-15,7.1080,6.9174,7.0806,7.1089,0.0454,0.6428%
1998-12-11,7.0626,6.8861,7.0485,7.0768,0.0000,0.0000%
1998-12-10,7.0626,6.8861,7.0485,7.0768,0.1283,1.8502%
1998-12-09,6.9343,6.8357,6.9969,7.0250,0.0702,1.0227%
1998-12-08,6.8641,6.7783,6.9382,6.9660,-0.0855,-1.2303%
1998-12-07,6.9496,6.7227,6.8813,6.9088,0.0738,1.0733%
1998-12-04,6.8758,6.8453,7.0068,7.0349,0.0000,0.0000%
1998-12-03,6.8758,6.8453,7.0068,7.0349,0.0863,1.2711%
1998-12-02,6.7895,6.7329,6.8917,6.9193,0.0524,0.7778%
1998-12-01,6.7371,6.6226,6.7788,6.8060,0.0429,0.6409%
1998-11-30,6.6942,6.5673,6.7222,6.7492,-0.1117,-1.6412%
1998-11-27,6.8059,6.5946,6.7502,6.7773,0.0000,0.0000%
1998-11-26,6.8059,6.5946,6.7502,6.7773,-0.0415,-0.6061%
1998-11-25,6.8474,6.6290,6.7853,6.8125,0.0403,0.5920%
1998-11-24,6.8071,6.6561,6.8131,6.8404,-0.0682,-0.9920%
1998-11-23,6.8753,6.6659,6.8232,6.8505,0.0967,1.4265%
1998-11-20,6.7786,6.7300,6.8888,6.9164,0.0000,0.0000%
1998-11-19,6.7786,6.7300,6.8888,6.9164,-0.0251,-0.3689%
1998-11-18,6.8037,6.6169,6.7730,6.8001,0.0163,0.2402%
1998-11-17,6.7874,6.6737,6.8311,6.8585,0.0376,0.5571%
1998-11-16,6.7498,6.7062,6.8643,6.8919,-0.0254,-0.3749%
1998-11-13,6.7752,6.6247,6.7810,6.8082,0.0000,0.0000%
1998-11-12,6.7752,6.6247,6.7810,6.8082,-0.0089,-0.1312%
1998-11-11,6.7841,6.6314,6.7878,6.8150,0.0396,0.5871%
1998-11-10,6.7445,6.5993,6.7550,6.7821,-0.1879,-2.7105%
1998-11-09,6.9324,6.6260,6.7823,6.8095,-0.0886,-1.2619%
1998-11-06,7.0210,6.8454,7.0069,7.0350,0.0000,0.0000%
1998-11-05,7.0210,6.8454,7.0069,7.0350,-0.1096,-1.5370%
1998-11-04,7.1306,6.8991,7.0618,7.0901,-0.0248,-0.3466%
1998-11-03,7.1554,7.0131,7.1786,7.2073,-0.0320,-0.4452%
1998-11-02,7.1874,7.0242,7.1899,7.2187,0.1534,2.1808%
1998-10-30,7.0340,6.9054,7.0683,7.0966,0.0000,0.0000%
1998-10-29,7.0340,6.9054,7.0683,7.0966,0.0100,0.1424%
1998-10-28,7.0240,6.8484,7.0100,7.0381,0.0840,1.2104%
1998-10-27,6.9400,6.8387,7.0000,7.0281,-0.0260,-0.3732%
1998-10-26,6.9660,6.7569,6.9163,6.9440,-0.0343,-0.4900%
1998-10-23,7.0003,6.8721,7.0342,7.0624,0.0000,0.0000%
1998-10-22,7.0003,6.8721,7.0342,7.0624,-0.1055,-1.4847%
1998-10-21,7.1058,6.8864,7.0488,7.0771,-0.0960,-1.3330%
1998-10-20,7.2018,6.9694,7.1338,7.1624,-0.0193,-0.2673%
1998-10-19,7.2211,7.0553,7.2217,7.2506,0.2775,3.9965%
1998-10-16,6.9436,6.9717,7.1361,7.1647,0.0000,0.0000%
1998-10-15,6.9436,6.9717,7.1361,7.1647,0.0204,0.2947%
1998-10-14,6.9232,6.8007,6.9611,6.9891,-0.0388,-0.5573%
1998-10-13,6.9620,6.7687,6.9284,6.9561,-0.1529,-2.1490%
1998-10-12,7.1149,6.8730,7.0351,7.0633,0.3023,4.4374%
1998-10-09,6.8126,6.8050,6.9656,6.9935,0.0000,0.0000%
1998-10-08,6.8126,6.8050,6.9656,6.9935,0.4702,7.4136%
1998-10-07,6.3424,6.6282,6.7846,6.8118,0.1548,2.5018%
1998-10-06,6.1876,6.1989,6.3451,6.3705,0.0604,0.9858%
1998-10-05,6.1272,6.0198,6.1618,6.1865,0.0131,0.2143%
1998-09-30,6.1141,6.0110,6.1528,6.1774,0.0000,0.0000%
1998-09-29,6.1141,6.0110,6.1528,6.1774,-0.0035,-0.0572%
1998-09-28,6.1176,5.9363,6.0764,6.1007,0.0514,0.8473%
1998-09-25,6.0662,5.9768,6.1178,6.1423,0.0000,0.0000%
1998-09-24,6.0662,5.9768,6.1178,6.1423,-0.0434,-0.7104%
1998-09-23,6.1096,5.9569,6.0974,6.1218,-0.0533,-0.8649%
