ÈÕÆÚ,ÖÐ¼ä¼Û,³®Âò¼Û,»ãÂò¼Û,³®/»ãÂô¼Û,ÕÇµø¶î,ÕÇµø·ù
2011-12-30,8.1103,7.9148,8.1670,8.2326,0.0018,0.0222%
2011-12-29,8.1085,7.8421,8.0919,8.1569,-0.0085,-0.1047%
2011-12-28,8.1170,7.8487,8.0987,8.1638,0.0154,0.1901%
2011-12-27,8.1016,7.8384,8.0881,8.1531,0.0043,0.0531%
2011-12-26,8.0973,7.8213,8.0704,8.1353,0.0169,0.2091%
2011-12-23,8.0804,7.8370,8.0867,8.1516,-0.0181,-0.2235%
2011-12-22,8.0985,7.8379,8.0876,8.1526,-0.0243,-0.2992%
2011-12-21,8.1228,7.8717,8.1225,8.1877,0.0014,0.0172%
2011-12-20,8.1214,7.8642,8.1147,8.1799,-0.0074,-0.0910%
2011-12-19,8.1288,7.8530,8.1032,8.1683,-0.0094,-0.1155%
2011-12-16,8.1382,7.8831,8.1343,8.1996,0.0130,0.1600%
2011-12-15,8.1252,7.8878,8.1391,8.2045,-0.0020,-0.0246%
2011-12-14,8.1272,7.8860,8.1372,8.2026,-0.0030,-0.0369%
2011-12-13,8.1302,7.8952,8.1468,8.2122,-0.0219,-0.2686%
2011-12-12,8.1521,7.8883,8.1396,8.2050,-0.0008,-0.0098%
2011-12-09,8.1529,7.9061,8.1579,8.2235,-0.0020,-0.0245%
2011-12-08,8.1549,7.9164,8.1686,8.2342,0.0043,0.0528%
2011-12-07,8.1506,7.9069,8.1588,8.2243,0.0095,0.1167%
2011-12-06,8.1411,7.9021,8.1538,8.2193,0.0293,0.3612%
2011-12-05,8.1118,7.8840,8.1352,8.2005,-0.0310,-0.3807%
2011-12-02,8.1428,7.8926,8.1440,8.2094,-0.0181,-0.2218%
2011-12-01,8.1609,7.9199,8.1723,8.2379,0.0295,0.3628%
2011-11-30,8.1314,7.8922,8.1437,8.2091,-0.0020,-0.0246%
2011-11-29,8.1334,7.9052,8.1571,8.2226,-0.0537,-0.6559%
2011-11-28,8.1871,7.9306,8.1833,8.2490,-0.0384,-0.4668%
2011-11-25,8.2255,7.9535,8.2069,8.2728,-0.0111,-0.1348%
2011-11-24,8.2366,7.9578,8.2113,8.2773,-0.0147,-0.1782%
2011-11-23,8.2513,7.9677,8.2216,8.2876,-0.0069,-0.0836%
2011-11-22,8.2582,7.9832,8.2376,8.3037,-0.0016,-0.0194%
2011-11-21,8.2598,7.9956,8.2503,8.3165,0.0047,0.0569%
2011-11-18,8.2551,7.9951,8.2498,8.3161,0.0052,0.0630%
2011-11-17,8.2499,7.9670,8.2208,8.2868,0.0111,0.1347%
2011-11-16,8.2388,7.9580,8.2116,8.2775,0.0126,0.1532%
2011-11-15,8.2262,7.9585,8.2120,8.2780,0.0282,0.3440%
2011-11-14,8.1980,7.9818,8.2361,8.3022,0.0370,0.4534%
2011-11-11,8.1610,7.9142,8.1663,8.2319,0.0278,0.3418%
2011-11-10,8.1332,7.8875,8.1388,8.2041,-0.0005,-0.0061%
2011-11-09,8.1337,7.8712,8.1220,8.1872,0.0324,0.3999%
2011-11-08,8.1013,7.8529,8.1031,8.1682,0.0102,0.1261%
2011-11-07,8.0911,7.8466,8.0966,8.1616,-0.0054,-0.0667%
2011-11-04,8.0965,7.8406,8.0904,8.1554,0.0020,0.0247%
2011-11-03,8.0945,7.8594,8.1098,8.1749,0.0085,0.1051%
2011-11-02,8.0860,7.8662,8.1168,8.1820,0.0165,0.2045%
2011-11-01,8.0695,7.8436,8.0935,8.1585,-0.2825,-3.3824%
2011-10-31,8.3520,7.8587,8.1090,8.1742,0.0183,0.2196%
2011-10-28,8.3337,8.1030,8.3611,8.4283,0.0094,0.1129%
2011-10-27,8.3243,8.0845,8.3421,8.4091,-0.0142,-0.1703%
2011-10-26,8.3385,8.0772,8.3345,8.4015,0.0123,0.1477%
2011-10-25,8.3262,8.0511,8.3076,8.3743,0.0012,0.0144%
2011-10-24,8.3250,8.0768,8.3341,8.4010,0.0466,0.5629%
2011-10-21,8.2784,8.0349,8.2908,8.3574,-0.0069,-0.0833%
2011-10-20,8.2853,8.0304,8.2863,8.3528,-0.0238,-0.2864%
2011-10-19,8.3091,8.0108,8.2660,8.3324,0.0138,0.1664%
2011-10-18,8.2953,8.0189,8.2744,8.3408,0.0523,0.6345%
2011-10-17,8.2430,7.9463,8.1994,8.2653,-0.0432,-0.5213%
2011-10-14,8.2862,7.9880,8.2425,8.3087,0.0253,0.3063%
2011-10-13,8.2609,8.0258,8.2815,8.3480,-0.0287,-0.3462%
2011-10-12,8.2896,8.0127,8.2679,8.3343,0.0171,0.2067%
2011-10-11,8.2725,8.0149,8.2702,8.3367,-0.0053,-0.0640%
2011-10-10,8.2778,8.0025,8.2574,8.3237,-0.0200,-0.2410%
2011-10-07,8.2978,8.0353,8.2912,8.3578,0.0000,0.0000%
2011-10-06,8.2978,8.0321,8.2880,8.3546,0.0000,0.0000%
2011-10-05,8.2978,8.0180,8.2734,8.3399,0.0000,0.0000%
2011-10-04,8.2978,8.0332,8.2891,8.3556,0.0000,0.0000%
2011-10-03,8.2978,7.9863,8.2407,8.3069,0.0000,0.0000%
2011-09-30,8.2978,8.0170,8.2723,8.3388,-0.0293,-0.3519%
2011-09-29,8.3271,8.0535,8.3101,8.3768,0.0120,0.1443%
2011-09-28,8.3151,8.0664,8.3233,8.3902,-0.0354,-0.4239%
2011-09-27,8.3505,8.0773,8.3346,8.4016,0.0235,0.2822%
