ÈÕÆÚ,ÖÐ¼ä¼Û,³®Âò¼Û,»ãÂò¼Û,³®/»ãÂô¼Û,ÕÇµø¶î,ÕÇµø·ù
2007-12-28,6.4064,6.2884,6.4239,6.4755,0.0147,0.2300%
2007-12-27,6.3917,6.2452,6.3797,6.4310,-0.0346,-0.5384%
2007-12-26,6.4263,6.2676,6.4026,6.4540,0.0058,0.0903%
2007-12-25,6.4205,6.2541,6.3888,6.4401,-0.0011,-0.0171%
2007-12-24,6.4216,6.2727,6.4078,6.4593,-0.0832,-1.2791%
2007-12-21,6.5048,6.3407,6.4773,6.5293,0.0042,0.0646%
2007-12-20,6.5006,6.3537,6.4905,6.5427,-0.0003,-0.0046%
2007-12-19,6.5009,6.3667,6.5039,6.5561,-0.0272,-0.4167%
2007-12-18,6.5281,6.3509,6.4877,6.5398,0.0144,0.2211%
2007-12-17,6.5137,6.3610,6.4980,6.5502,-0.0284,-0.4341%
2007-12-14,6.5421,6.3836,6.5211,6.5735,-0.0303,-0.4610%
2007-12-13,6.5724,6.4325,6.5710,6.6238,-0.0681,-1.0255%
2007-12-12,6.6405,6.4622,6.6013,6.6544,0.0447,0.6777%
2007-12-11,6.5958,6.4242,6.5626,6.6153,-0.0299,-0.4513%
2007-12-10,6.6257,6.4624,6.6016,6.6546,-0.0222,-0.3339%
2007-12-07,6.6479,6.4772,6.6168,6.6699,-0.0393,-0.5877%
2007-12-06,6.6872,6.5235,6.6640,6.7175,-0.0421,-0.6256%
2007-12-05,6.7293,6.5286,6.6692,6.7228,0.0161,0.2398%
2007-12-04,6.7132,6.5591,6.7004,6.7542,0.0249,0.3723%
2007-12-03,6.6883,6.5336,6.6743,6.7279,-0.0359,-0.5339%
2007-11-30,6.7242,6.5374,6.6782,6.7319,-0.0034,-0.0505%
2007-11-29,6.7276,6.5413,6.6822,6.7359,-0.0805,-1.1824%
2007-11-28,6.8081,6.6039,6.7462,6.8004,-0.0736,-1.0695%
2007-11-27,6.8817,6.6535,6.7969,6.8514,0.0774,1.1375%
2007-11-26,6.8043,6.6420,6.7850,6.8395,-0.0112,-0.1643%
2007-11-23,6.8155,6.6531,6.7964,6.8510,-0.0148,-0.2167%
2007-11-22,6.8303,6.6526,6.7959,6.8505,0.0747,1.1057%
