ÈÕÆÚ,ÖÐ¼ä¼Û,³®Âò¼Û,»ãÂò¼Û,³®/»ãÂô¼Û,ÕÇµø¶î,ÕÇµø·ù
2002-12-31,6.9035,6.8345,6.8862,6.9208,-0.0013,-0.0188%
2002-12-30,6.9048,6.8358,6.8876,6.9221,0.0357,0.5197%
2002-12-27,6.8691,6.8314,6.8832,6.9177,0.0000,0.0000%
2002-12-26,6.8691,6.8132,6.8649,6.8993,0.0028,0.0408%
2002-12-25,6.8663,6.8190,6.8707,6.9051,-0.0067,-0.0975%
2002-12-24,6.8730,6.8043,6.8558,6.8902,0.0209,0.3050%
2002-12-23,6.8521,6.8062,6.8577,6.8921,0.0174,0.2546%
2002-12-20,6.8347,6.7954,6.8468,6.8812,0.0088,0.1289%
2002-12-19,6.8259,6.7754,6.8267,6.8610,0.0021,0.0308%
2002-12-18,6.8238,6.7556,6.8068,6.8409,-0.0352,-0.5132%
2002-12-17,6.8590,6.7497,6.8008,6.8349,0.1171,1.7369%
2002-12-16,6.7419,6.7915,6.8429,6.8772,0.0438,0.6539%
2002-12-13,6.6981,6.6776,6.7282,6.7619,0.0043,0.0642%
2002-12-12,6.6938,6.6268,6.6771,6.7105,0.0048,0.0718%
2002-12-11,6.6890,6.6221,6.6723,6.7057,-0.0220,-0.3278%
2002-12-10,6.7110,6.6439,6.6942,6.7277,0.1098,1.6633%
2002-12-09,6.6012,6.6440,6.6944,6.7279,-0.0015,-0.0227%
2002-12-06,6.6027,6.5598,6.6095,6.6427,-0.0422,-0.6351%
2002-12-05,6.6449,6.5784,6.6283,6.6615,-0.0117,-0.1758%
2002-12-04,6.6566,6.5900,6.6399,6.6732,-0.0518,-0.7722%
2002-12-03,6.7084,6.5840,6.6339,6.6671,-0.0577,-0.8528%
2002-12-02,6.7661,6.6850,6.7356,6.7694,-0.0038,-0.0561%
2002-11-29,6.7699,6.7022,6.7530,6.7868,-0.0159,-0.2343%
2002-11-28,6.7858,6.6988,6.7496,6.7834,0.0085,0.1254%
2002-11-27,6.7773,6.7392,6.7903,6.8243,0.0299,0.4431%
2002-11-26,6.7474,6.7096,6.7604,6.7943,0.0078,0.1157%
2002-11-25,6.7396,6.6586,6.7091,6.7427,-0.0268,-0.3961%
2002-11-22,6.7664,6.6821,6.7327,6.7664,-0.0026,-0.0384%
2002-11-21,6.7690,6.6785,6.7291,6.7629,-0.0665,-0.9729%
2002-11-20,6.8355,6.7016,6.7524,6.7863,-0.0024,-0.0351%
2002-11-19,6.8379,6.7695,6.8208,6.8550,0.0521,0.7678%
2002-11-18,6.7858,6.6988,6.7496,6.7834,-0.0852,-1.2400%
2002-11-15,6.8710,6.8023,6.8539,6.8882,-0.0339,-0.4910%
2002-11-14,6.9049,6.8248,6.8765,6.9110,-0.0024,-0.0347%
2002-11-13,6.9073,6.8523,6.9042,6.9388,0.0024,0.0348%
2002-11-12,6.9049,6.8471,6.8989,6.9335,0.0924,1.3563%
2002-11-11,6.8125,6.8307,6.8824,6.9169,0.0269,0.3964%
2002-11-08,6.7856,6.7624,6.8136,6.8478,0.0195,0.2882%
2002-11-07,6.7661,6.7302,6.7812,6.8152,-0.0269,-0.3960%
2002-11-06,6.7930,6.7251,6.7761,6.8100,0.0192,0.2834%
2002-11-05,6.7738,6.7060,6.7568,6.7907,0.0346,0.5134%
2002-11-04,6.7392,6.7054,6.7562,6.7901,0.0051,0.0757%
2002-11-01,6.7341,6.6928,6.7435,6.7773,0.0112,0.1666%
2002-10-31,6.7229,6.6656,6.7161,6.7497,0.0246,0.3673%
2002-10-30,6.6983,6.6613,6.7118,6.7454,0.0574,0.8643%
2002-10-29,6.6409,6.6329,6.6832,6.7167,-0.0417,-0.6240%
2002-10-28,6.6826,6.5921,6.6421,6.6753,0.0214,0.3213%
2002-10-25,6.6612,6.5820,6.6318,6.6651,0.0452,0.6832%
2002-10-24,6.6160,6.5744,6.6242,6.6574,0.0060,0.0908%
2002-10-23,6.6100,6.5440,6.5935,6.6266,-0.0148,-0.2234%
2002-10-22,6.6248,6.5586,6.6083,6.6414,0.0118,0.1784%
2002-10-21,6.6130,6.5249,6.5743,6.6073,-0.0375,-0.5639%
2002-10-18,6.6505,6.5471,6.5967,6.6298,0.0181,0.2729%
2002-10-17,6.6324,6.5812,6.6311,6.6643,-0.0084,-0.1265%
2002-10-16,6.6408,6.5743,6.6241,6.6574,-0.0391,-0.5853%
2002-10-15,6.6799,6.5908,6.6407,6.6740,0.0127,0.1905%
2002-10-14,6.6672,6.6005,6.6505,6.6838,-0.0270,-0.4033%
2002-10-11,6.6942,6.6272,6.6774,6.7109,0.0000,0.0000%
2002-10-10,6.6942,6.6272,6.6774,6.7109,0.0394,0.5921%
2002-10-09,6.6548,6.6010,6.6510,6.6843,-0.1582,-2.3220%
2002-10-08,6.8130,6.5890,6.6389,6.6722,0.0000,0.0000%
2002-10-07,6.8130,6.5890,6.6389,6.6722,0.0213,0.3136%
2002-09-30,6.7917,6.6764,6.7270,6.7607,0.0371,0.5493%
2002-09-28,6.7546,6.5857,6.7377,6.7715,0.0086,0.1275%
2002-09-26,6.7460,6.5720,6.7237,6.7574,0.0054,0.0801%
2002-09-25,6.7406,6.5720,6.7237,6.7574,0.0510,0.7624%
2002-09-24,6.6896,6.5426,6.6936,6.7271,-0.0278,-0.4139%
2002-09-23,6.7174,6.5155,6.6658,6.6993,-0.0795,-1.1697%
2002-09-20,6.7969,6.6460,6.7993,6.8334,0.0000,0.0000%
2002-09-19,6.7969,6.6460,6.7993,6.8334,0.0244,0.3603%
2002-09-18,6.7725,6.6431,6.7964,6.8304,0.0293,0.4345%
2002-09-17,6.7432,6.6131,6.7657,6.7996,-0.0359,-0.5296%
2002-09-16,6.7791,6.5947,6.7468,6.7807,-0.1052,-1.5281%
2002-09-13,6.8843,6.7232,6.8784,6.9128,0.0000,0.0000%
2002-09-12,6.8843,6.7232,6.8784,6.9128,-0.0168,-0.2434%
2002-09-11,6.9011,6.7079,6.8627,6.8971,-0.0729,-1.0453%
2002-09-10,6.9740,6.7379,6.8934,6.9279,-0.0204,-0.2917%
2002-09-09,6.9944,6.7887,6.9454,6.9802,-0.0162,-0.2311%
2002-09-06,7.0106,6.8190,6.9763,7.0113,0.0000,0.0000%
2002-09-05,7.0106,6.8190,6.9763,7.0113,-0.0412,-0.5842%
2002-09-04,7.0518,6.8455,7.0035,7.0386,0.0371,0.5289%
