ÈÕÆÚ,ÖÐ¼ä¼Û,³®Âò¼Û,»ãÂò¼Û,³®/»ãÂô¼Û,ÕÇµø¶î,ÕÇµø·ù
2003-12-31,7.7263,7.6490,7.7070,7.7456,-0.0077,-0.0996%
2003-12-30,7.7340,7.6566,7.7146,7.7533,0.0178,0.2307%
2003-12-29,7.7162,7.6391,7.6969,7.7355,0.0046,0.0597%
2003-12-26,7.7116,7.6344,7.6923,7.7308,0.0091,0.1181%
2003-12-25,7.7025,7.6371,7.6950,7.7335,0.0172,0.2238%
2003-12-24,7.6853,7.6310,7.6888,7.7273,-0.0099,-0.1287%
2003-12-23,7.6952,7.6182,7.6759,7.7144,0.0153,0.1992%
2003-12-22,7.6799,7.6031,7.6607,7.6991,-0.0124,-0.1612%
2003-12-19,7.6923,7.6154,7.6731,7.7115,-0.0001,-0.0013%
2003-12-18,7.6924,7.6260,7.6838,7.7223,0.0152,0.1980%
2003-12-17,7.6772,7.6166,7.6743,7.7128,0.0208,0.2717%
2003-12-16,7.6564,7.6139,7.6716,7.7100,0.0200,0.2619%
2003-12-15,7.6364,7.5600,7.6173,7.6555,-0.0088,-0.1151%
2003-12-12,7.6452,7.5859,7.6434,7.6817,-0.0580,-0.7529%
2003-12-11,7.7032,7.5624,7.6197,7.6579,-0.0090,-0.1167%
2003-12-10,7.7122,7.6475,7.7055,7.7441,0.0272,0.3539%
2003-12-09,7.6850,7.6329,7.6908,7.7293,0.0522,0.6839%
2003-12-08,7.6328,7.6030,7.6606,7.6990,-0.0120,-0.1570%
2003-12-05,7.6448,7.5683,7.6257,7.6639,0.0356,0.4679%
2003-12-04,7.6092,7.5712,7.6286,7.6668,0.0557,0.7374%
2003-12-03,7.5535,7.5403,7.5974,7.6355,-0.0149,-0.1969%
2003-12-02,7.5684,7.4927,7.5495,7.5873,0.0040,0.0529%
2003-12-01,7.5644,7.4639,7.5204,7.5581,-0.0308,-0.4055%
2003-11-28,7.5952,7.5085,7.5654,7.6033,0.0392,0.5188%
2003-11-27,7.5560,7.5071,7.5640,7.6019,-0.0095,-0.1256%
2003-11-26,7.5655,7.4898,7.5466,7.5844,-0.0333,-0.4382%
2003-11-25,7.5988,7.4957,7.5525,7.5904,0.0120,0.1582%
2003-11-24,7.5868,7.5322,7.5892,7.6273,-0.0091,-0.1198%
2003-11-21,7.5959,7.5200,7.5769,7.6149,-0.0044,-0.0579%
2003-11-20,7.6003,7.5005,7.5573,7.5952,0.0000,0.0000%
2003-11-19,7.6003,7.5877,7.6452,7.6835,0.0425,0.5623%
2003-11-18,7.5578,7.5255,7.5825,7.6205,-0.0999,-1.3046%
2003-11-17,7.6577,7.5603,7.6176,7.6558,0.0255,0.3341%
2003-11-14,7.6322,7.5802,7.6377,7.6759,0.0268,0.3524%
2003-11-13,7.6054,7.5294,7.5864,7.6245,0.0918,1.2218%
2003-11-10,7.5136,7.4884,7.5452,7.5830,-0.0096,-0.1276%
2003-11-07,7.5232,7.4337,7.4900,7.5275,-0.0090,-0.1195%
2003-11-06,7.5322,7.4568,7.5133,7.5510,0.0275,0.3664%
2003-11-05,7.5047,7.4738,7.5304,7.5682,-0.0093,-0.1238%
2003-11-04,7.5140,7.3855,7.4414,7.4787,-0.0829,-1.0912%
2003-11-03,7.5969,7.4571,7.5136,7.5512,-0.0516,-0.6746%
2003-10-31,7.6485,7.5315,7.5886,7.6266,0.0009,0.0118%
2003-10-30,7.6476,7.5711,7.6285,7.6667,0.0000,0.0000%
2003-10-29,7.6476,7.5711,7.6285,7.6667,0.0371,0.4875%
2003-10-28,7.6105,7.5558,7.6131,7.6512,0.0679,0.9002%
2003-10-27,7.5426,7.5033,7.5602,7.5981,-0.0190,-0.2513%
2003-10-24,7.5616,7.4860,7.5427,7.5806,0.0076,0.1006%
2003-10-23,7.5540,7.5211,7.5781,7.6160,0.0226,0.3001%
2003-10-22,7.5314,7.4774,7.5340,7.5718,-0.0206,-0.2728%
2003-10-21,7.5520,7.4304,7.4867,7.5242,0.0263,0.3495%
2003-10-20,7.5257,7.5211,7.5781,7.6160,-0.0077,-0.1022%
2003-10-17,7.5334,7.4581,7.5146,7.5523,-0.0541,-0.7130%
2003-10-16,7.5875,7.4807,7.5373,7.5751,0.0332,0.4395%
2003-10-15,7.5543,7.5288,7.5858,7.6238,-0.0740,-0.9701%
2003-10-14,7.6283,7.5171,7.5741,7.6120,0.0429,0.5656%
2003-10-13,7.5854,7.5519,7.6091,7.6473,0.0004,0.0053%
2003-10-10,7.5850,7.5091,7.5660,7.6039,0.0415,0.5501%
2003-10-09,7.5435,7.4820,7.5387,7.5765,0.0859,1.1518%
2003-10-08,7.4576,7.4483,7.5047,7.5423,0.0267,0.3593%
2003-09-30,7.4309,7.3948,7.4509,7.4882,0.0228,0.3078%
2003-09-29,7.4081,7.3482,7.4039,7.4410,0.0238,0.3223%
2003-09-28,7.3843,7.3408,7.3964,7.4335,0.0023,0.0312%
2003-09-27,7.3820,7.3408,7.3964,7.4335,-0.0085,-0.1150%
2003-09-26,7.3905,7.3016,7.3569,7.3938,0.0169,0.2292%
2003-09-25,7.3736,7.3248,7.3803,7.4173,-0.0152,-0.2057%
2003-09-24,7.3888,7.2933,7.3486,7.3854,0.0112,0.1518%
2003-09-23,7.3776,7.3038,7.3592,7.3960,0.2052,2.8610%
2003-09-22,7.1724,7.3028,7.3582,7.3951,0.0407,0.5707%
2003-09-19,7.1317,7.1076,7.1615,7.1974,0.0131,0.1840%
2003-09-18,7.1186,7.0595,7.1130,7.1487,0.0374,0.5282%
2003-09-17,7.0812,7.0501,7.1035,7.1391,0.0333,0.4725%
2003-09-16,7.0479,6.9774,7.0303,7.0655,-0.0071,-0.1006%
2003-09-15,7.0550,6.9844,7.0373,7.0726,-0.0126,-0.1783%
2003-09-12,7.0676,6.9969,7.0499,7.0853,-0.0198,-0.2794%
2003-09-11,7.0874,6.9961,7.0491,7.0845,-0.0083,-0.1170%
2003-09-10,7.0957,7.0111,7.0642,7.0996,0.0430,0.6097%
2003-09-09,7.0527,7.0224,7.0756,7.1111,-0.0255,-0.3603%
2003-09-08,7.0782,6.9694,7.0222,7.0574,-0.0068,-0.0960%
2003-09-05,7.0850,7.0141,7.0672,7.1027,-0.0292,-0.4104%
2003-09-04,7.1142,7.0714,7.1250,7.1607,0.0287,0.4051%
2003-09-03,7.0855,7.0328,7.0860,7.1216,-0.0074,-0.1043%
2003-09-02,7.0929,7.0334,7.0867,7.1222,0.0303,0.4290%
2003-09-01,7.0626,7.0190,7.0722,7.1076,0.0102,0.1446%
2003-08-29,7.0524,6.9819,7.0348,7.0701,0.0076,0.1079%
2003-08-28,7.0448,6.9744,7.0272,7.0625,0.0053,0.0753%
2003-08-27,7.0395,6.9808,7.0337,7.0689,0.0021,0.0298%
2003-08-26,7.0374,6.9894,7.0424,7.0777,0.0328,0.4683%
2003-08-25,7.0046,6.9690,7.0218,7.0570,0.0000,0.0000%
2003-08-22,7.0046,6.9554,7.0081,7.0432,0.0242,0.3467%
2003-08-21,6.9804,6.9394,6.9920,7.0270,0.0478,0.6895%
2003-08-20,6.9326,6.9147,6.9671,7.0020,-0.0226,-0.3249%
2003-08-19,6.9552,6.8607,6.9126,6.9473,0.0072,0.1036%
2003-08-18,6.9480,6.8785,6.9306,6.9654,0.0108,0.1557%
2003-08-15,6.9372,6.8810,6.9331,6.9679,-0.0042,-0.0605%
2003-08-14,6.9414,6.8720,6.9241,6.9588,-0.0348,-0.4988%
2003-08-13,6.9762,6.9065,6.9588,6.9937,0.0105,0.1507%
2003-08-12,6.9657,6.9119,6.9643,6.9992,0.0153,0.2201%
2003-08-11,6.9504,6.8809,6.9330,6.9677,0.0636,0.9235%
2003-08-08,6.8868,6.8804,6.9325,6.9672,-0.0113,-0.1638%
2003-08-07,6.8981,6.8160,6.8676,6.9021,0.0241,0.3506%
2003-08-06,6.8740,6.8329,6.8847,6.9192,-0.0228,-0.3306%
2003-08-05,6.8968,6.8102,6.8618,6.8962,0.0220,0.3200%
2003-08-04,6.8748,6.8273,6.8790,6.9135,-0.0171,-0.2481%
2003-08-01,6.8919,6.7962,6.8477,6.8820,-0.0130,-0.1883%
2003-07-31,6.9049,6.8134,6.8651,6.8995,-0.0360,-0.5187%
2003-07-30,6.9409,6.8381,6.8899,6.9244,-0.0066,-0.0950%
2003-07-29,6.9475,6.8578,6.9098,6.9444,-0.0140,-0.2011%
2003-07-28,6.9615,6.8919,6.9441,6.9789,-0.0067,-0.0962%
2003-07-25,6.9682,6.8846,6.9368,6.9716,0.0150,0.2157%
2003-07-24,6.9532,6.8943,6.9465,6.9814,0.0030,0.0432%
2003-07-23,6.9502,6.8807,6.9328,6.9676,-0.0463,-0.6618%
2003-07-22,6.9965,6.9128,6.9651,7.0000,0.0412,0.5924%
2003-07-21,6.9553,6.9048,6.9571,6.9919,-0.0454,-0.6485%
2003-07-18,7.0007,6.8990,6.9512,6.9861,0.0005,0.0071%
2003-07-17,7.0002,6.9469,6.9995,7.0346,-0.0287,-0.4083%
2003-07-16,7.0289,6.9482,7.0008,7.0359,-0.0011,-0.0156%
2003-07-15,7.0300,6.9597,7.0124,7.0476,0.0153,0.2181%
2003-07-14,7.0147,6.9589,7.0116,7.0467,-0.0133,-0.1892%
2003-07-11,7.0280,6.9578,7.0105,7.0456,0.0194,0.2768%
2003-07-10,7.0086,6.9539,7.0066,7.0417,0.0000,0.0000%
2003-07-09,7.0086,6.9284,6.9809,7.0158,0.0026,0.0371%
2003-07-08,7.0060,6.9360,6.9885,7.0236,0.0070,0.1000%
2003-07-07,6.9990,6.9406,6.9932,7.0283,0.0140,0.2004%
2003-07-04,6.9850,6.9344,6.9869,7.0220,0.0553,0.7980%
2003-07-03,6.9297,6.9332,6.9857,7.0208,0.0216,0.3127%
2003-07-02,6.9081,6.8652,6.9172,6.9519,-0.0061,-0.0882%
2003-07-01,6.9142,6.8451,6.8970,6.9315,-0.0138,-0.1992%
2003-06-30,6.9280,6.8480,6.8999,6.9344,-0.0739,-1.0554%
2003-06-27,7.0019,6.8630,6.9150,6.9496,-0.0290,-0.4125%
2003-06-26,7.0309,6.9456,6.9982,7.0333,0.0115,0.1638%
2003-06-25,7.0194,6.9492,7.0019,7.0370,0.0242,0.3460%
2003-06-24,6.9952,6.9590,7.0117,7.0468,-0.0024,-0.0343%
2003-06-23,6.9976,6.9154,6.9678,7.0027,0.0232,0.3326%
2003-06-20,6.9744,6.9182,6.9706,7.0055,-0.0254,-0.3629%
2003-06-19,6.9998,6.9479,7.0006,7.0356,-0.0295,-0.4197%
2003-06-18,7.0293,6.9373,6.9899,7.0249,-0.0032,-0.0455%
2003-06-17,7.0325,6.9622,7.0149,7.0501,0.0010,0.0142%
2003-06-16,7.0315,6.9814,7.0343,7.0695,-0.0020,-0.0284%
2003-06-13,7.0335,6.9631,7.0159,7.0511,0.0255,0.3639%
2003-06-12,7.0080,6.9581,7.0108,7.0460,0.0089,0.1272%
2003-06-11,6.9991,6.9582,7.0110,7.0461,0.0112,0.1603%
2003-06-10,6.9879,6.9293,6.9818,7.0168,-0.0357,-0.5083%
2003-06-09,7.0236,6.8990,6.9512,6.9861,0.0399,0.5713%
2003-06-06,6.9837,6.9643,7.0171,7.0523,0.0203,0.2915%
2003-06-05,6.9634,6.8937,6.9460,6.9808,-0.0207,-0.2964%
2003-06-04,6.9841,6.8746,6.9266,6.9614,0.0285,0.4097%
2003-06-03,6.9556,6.9061,6.9584,6.9933,-0.0348,-0.4978%
2003-06-02,6.9904,6.8501,6.9019,6.9365,0.0270,0.3877%
2003-05-30,6.9634,6.9349,6.9874,7.0224,-0.1015,-1.4367%
2003-05-29,7.0649,6.9048,6.9571,6.9919,-0.0218,-0.3076%
2003-05-28,7.0867,6.9864,7.0394,7.0746,0.0318,0.4508%
2003-05-27,7.0549,7.0127,7.0659,7.1013,0.0000,0.0000%
2003-05-26,7.0549,7.0073,7.0604,7.0958,0.0209,0.2971%
2003-05-23,7.0340,6.9876,7.0406,7.0758,-0.0548,-0.7731%
2003-05-22,7.0888,6.9657,7.0185,7.0537,0.0246,0.3482%
2003-05-21,7.0642,7.0254,7.0786,7.1141,-0.1155,-1.6087%
2003-05-20,7.1797,6.9924,7.0454,7.0807,0.0691,0.9718%
2003-05-19,7.1106,7.0851,7.1387,7.1745,-0.0094,-0.1320%
2003-05-16,7.1200,7.0362,7.0895,7.1251,0.0321,0.4529%
2003-05-15,7.0879,7.0466,7.1000,7.1356,0.0226,0.3199%
2003-05-14,7.0653,7.0147,7.0678,7.1033,-0.0106,-0.1498%
2003-05-13,7.0759,7.0051,7.0582,7.0936,0.0081,0.1146%
2003-05-12,7.0678,6.9972,7.0502,7.0855,-0.0241,-0.3398%
2003-05-09,7.0919,6.9930,7.0460,7.0813,0.0632,0.8992%
2003-05-08,7.0287,7.0369,7.0902,7.1258,0.0543,0.7786%
2003-05-07,6.9744,6.9688,7.0216,7.0568,0.0503,0.7264%
2003-05-06,6.9241,6.9142,6.9666,7.0015,0.0371,0.5387%
2003-04-30,6.8870,6.8339,6.8857,6.9202,-0.0069,-0.1001%
2003-04-29,6.8939,6.8022,6.8537,6.8881,0.0105,0.1525%
2003-04-28,6.8834,6.8146,6.8662,6.9007,-0.0208,-0.3013%
2003-04-25,6.9042,6.8352,6.8870,6.9215,0.0152,0.2206%
2003-04-24,6.8890,6.8052,6.8567,6.8911,0.0255,0.3715%
2003-04-23,6.8635,6.8356,6.8874,6.9220,-0.0313,-0.4540%
2003-04-22,6.8948,6.7998,6.8513,6.8857,-0.0177,-0.2561%
2003-04-21,6.9125,6.8534,6.9053,6.9399,-0.0242,-0.3489%
2003-04-18,6.9367,6.8512,6.9031,6.9377,0.0625,0.9092%
2003-04-17,6.8742,6.8530,6.9049,6.9395,-0.0037,-0.0538%
2003-04-16,6.8779,6.8091,6.8607,6.8951,-0.0013,-0.0189%
2003-04-15,6.8792,6.8104,6.8620,6.8964,-0.0324,-0.4688%
2003-04-14,6.9116,6.7894,6.8408,6.8751,0.0125,0.1812%
2003-04-11,6.8991,6.8508,6.9027,6.9373,0.0061,0.0885%
2003-04-10,6.8930,6.8240,6.8757,6.9102,0.0029,0.0421%
2003-04-09,6.8901,6.8449,6.8968,6.9314,0.0394,0.5751%
2003-04-08,6.8507,6.8352,6.8870,6.9215,-0.0522,-0.7562%
2003-04-07,6.9029,6.8056,6.8571,6.8915,-0.0680,-0.9755%
2003-04-04,6.9709,6.8649,6.9169,6.9515,-0.0222,-0.3175%
2003-04-03,6.9931,6.8804,6.9325,6.9673,-0.0046,-0.0657%
2003-04-02,6.9977,6.9536,7.0063,7.0414,0.0752,1.0863%
2003-04-01,6.9225,6.9390,6.9916,7.0266,0.0319,0.4629%
2003-03-31,6.8906,6.8414,6.8933,6.9278,-0.0215,-0.3110%
2003-03-28,6.9121,6.8295,6.8813,6.9158,0.0099,0.1434%
2003-03-27,6.9022,6.8331,6.8849,6.9194,-0.0020,-0.0290%
2003-03-26,6.9042,6.8243,6.8760,6.9105,0.0638,0.9327%
2003-03-25,6.8404,6.7878,6.8392,6.8735,-0.0368,-0.5351%
2003-03-24,6.8772,6.7681,6.8194,6.8536,-0.0480,-0.6931%
2003-03-21,6.9252,6.8124,6.8640,6.8984,-0.0428,-0.6142%
2003-03-20,6.9680,6.8073,6.8589,6.8933,-0.0140,-0.2005%
2003-03-19,6.9820,6.8968,6.9490,6.9839,-0.0399,-0.5682%
2003-03-18,7.0219,6.9118,6.9641,6.9990,0.0143,0.2041%
2003-03-17,7.0076,6.9375,6.9901,7.0251,0.0064,0.0914%
2003-03-14,7.0012,6.9106,6.9629,6.9978,-0.0518,-0.7344%
2003-03-13,7.0530,6.9824,7.0353,7.0706,-0.0150,-0.2122%
2003-03-12,7.0680,6.9973,7.0503,7.0857,-0.0147,-0.2075%
2003-03-11,7.0827,7.0119,7.0650,7.1004,0.0359,0.5095%
2003-03-10,7.0468,6.9971,7.0501,7.0854,-0.0075,-0.1063%
