ÈÕÆÚ,ÖÐ¼ä¼Û,³®Âò¼Û,»ãÂò¼Û,³®/»ãÂô¼Û,ÕÇµø¶î,ÕÇµø·ù
2001-12-31,6.3005,6.1432,6.2910,6.3100,0.0000,0.0000%
2001-12-30,6.3005,6.1432,6.2910,6.3100,0.0513,0.8209%
2001-12-29,6.2492,6.1545,6.3028,6.3218,-0.0632,-1.0012%
2001-12-28,6.3124,6.1546,6.3029,6.3219,0.0009,0.0143%
2001-12-27,6.3115,6.1227,6.2703,6.2892,-0.0128,-0.2024%
2001-12-26,6.3243,6.1662,6.3148,6.3338,0.0004,0.0063%
2001-12-25,6.3239,6.1658,6.3144,6.3334,-0.0620,-0.9709%
2001-12-24,6.3859,6.2089,6.3585,6.3776,-0.0451,-0.7013%
2001-12-21,6.4310,6.2702,6.4213,6.4406,0.0000,0.0000%
2001-12-20,6.4310,6.2702,6.4213,6.4406,-0.1346,-2.0501%
2001-12-14,6.5656,6.4015,6.5558,6.5755,0.0000,0.0000%
2001-12-13,6.5656,6.4015,6.5558,6.5755,-0.0030,-0.0457%
2001-12-12,6.5686,6.4044,6.5588,6.5785,-0.0120,-0.1824%
2001-12-11,6.5806,6.3998,6.5541,6.5738,-0.0162,-0.2456%
2001-12-10,6.5968,6.4063,6.5608,6.5805,-0.0758,-1.1360%
2001-12-07,6.6726,6.4783,6.6345,6.6544,0.0000,0.0000%
2001-12-06,6.6726,6.4783,6.6345,6.6544,0.0050,0.0750%
2001-12-05,6.6676,6.5009,6.6576,6.6776,0.0011,0.0165%
2001-12-04,6.6665,6.4998,6.6565,6.6765,-0.0338,-0.5045%
2001-12-03,6.7003,6.5024,6.6591,6.6791,-0.0300,-0.4457%
2001-11-30,6.7303,6.5142,6.6679,6.6946,0.0000,0.0000%
2001-11-29,6.7303,6.5142,6.6679,6.6946,0.0377,0.5633%
2001-11-28,6.6926,6.5572,6.7119,6.7388,0.0370,0.5559%
2001-11-27,6.6556,6.5086,6.6622,6.6889,-0.0184,-0.2757%
2001-11-26,6.6740,6.5071,6.6606,6.6873,-0.0467,-0.6949%
2001-11-23,6.7207,6.5107,6.6643,6.6910,0.0000,0.0000%
2001-11-22,6.7207,6.5107,6.6643,6.6910,-0.0108,-0.1604%
2001-11-21,6.7315,6.5487,6.7032,6.7301,0.0080,0.1190%
2001-11-20,6.7235,6.5837,6.7390,6.7660,0.0035,0.0521%
2001-11-19,6.7200,6.5520,6.7065,6.7334,-0.0780,-1.1474%
2001-11-16,6.7980,6.5945,6.7501,6.7772,0.0000,0.0000%
2001-11-15,6.7980,6.5945,6.7501,6.7772,-0.0099,-0.1454%
2001-11-14,6.8079,6.6377,6.7943,6.8215,-0.0302,-0.4416%
2001-11-13,6.8381,6.6375,6.7941,6.8213,-0.0263,-0.3831%
2001-11-12,6.8644,6.6929,6.8507,6.8782,0.0348,0.5095%
2001-11-09,6.8296,6.7175,6.8759,6.9035,0.0000,0.0000%
2001-11-08,6.8296,6.7175,6.8759,6.9035,-0.0100,-0.1462%
2001-11-07,6.8396,6.6686,6.8259,6.8533,0.0376,0.5528%
2001-11-06,6.8020,6.6613,6.8184,6.8457,0.0141,0.2077%
2001-11-05,6.7879,6.6326,6.7891,6.8163,0.0269,0.3979%
2001-11-02,6.7610,6.6164,6.7724,6.7996,0.0000,0.0000%
2001-11-01,6.7610,6.6164,6.7724,6.7996,-0.0286,-0.4212%
2001-10-31,6.7896,6.5909,6.7464,6.7734,-0.0033,-0.0486%
2001-10-30,6.7929,6.6103,6.7663,6.7934,0.0347,0.5135%
2001-10-29,6.7582,6.6156,6.7717,6.7988,0.0246,0.3653%
2001-10-26,6.7336,6.5652,6.7201,6.7470,0.0000,0.0000%
2001-10-25,6.7336,6.5652,6.7201,6.7470,0.0180,0.2680%
2001-10-24,6.7156,6.5688,6.7238,6.7507,-0.0374,-0.5538%
2001-10-23,6.7530,6.5842,6.7395,6.7665,-0.0579,-0.8501%
2001-10-22,6.8109,6.5894,6.7449,6.7719,-0.0245,-0.3584%
2001-10-19,6.8354,6.6645,6.8217,6.8491,0.0000,0.0000%
2001-10-18,6.8354,6.6645,6.8217,6.8491,0.0308,0.4526%
2001-10-17,6.8046,6.6576,6.8146,6.8419,-0.0506,-0.7381%
2001-10-16,6.8552,6.6497,6.8066,6.8339,0.0225,0.3293%
2001-10-15,6.8327,6.6772,6.8347,6.8621,-0.0544,-0.7899%
2001-10-12,6.8871,6.6488,6.8057,6.8330,0.0000,0.0000%
2001-10-11,6.8871,6.6488,6.8057,6.8330,0.0203,0.2956%
2001-10-10,6.8668,6.7087,6.8669,6.8945,-0.0162,-0.2354%
2001-10-09,6.8830,6.7110,6.8693,6.8968,-0.0123,-0.1784%
2001-10-08,6.8953,6.7349,6.8938,6.9214,0.0412,0.6011%
2001-09-30,6.8541,6.7432,6.9023,6.9300,-0.0857,-1.2349%
2001-09-28,6.9398,6.7499,6.9092,6.9369,-0.0923,-1.3126%
2001-09-27,7.0321,6.7418,6.9009,6.9285,-0.0319,-0.4516%
2001-09-26,7.0640,6.8526,7.0143,7.0424,0.0238,0.3381%
2001-09-25,7.0402,6.8642,7.0262,7.0543,-0.0090,-0.1277%
2001-09-24,7.0492,6.8642,7.0262,7.0543,0.0107,0.1520%
2001-09-21,7.0385,6.9297,7.0932,7.1216,0.0000,0.0000%
2001-09-20,7.0385,6.9297,7.0932,7.1216,0.0254,0.3622%
2001-09-19,7.0131,6.8623,7.0241,7.0523,0.0111,0.1585%
2001-09-18,7.0020,6.8823,7.0447,7.0729,-0.0599,-0.8482%
2001-09-17,7.0619,6.8507,7.0123,7.0404,0.0941,1.3505%
2001-09-14,6.9678,6.7937,6.9539,6.9818,0.0000,0.0000%
2001-09-13,6.9678,6.7937,6.9539,6.9818,0.0613,0.8876%
2001-09-12,6.9065,6.7520,6.9113,6.9390,0.0847,1.2416%
2001-09-11,6.8218,6.7542,6.9136,6.9413,-0.0743,-1.0774%
2001-09-10,6.8961,6.6695,6.8268,6.8542,0.0498,0.7274%
2001-09-07,6.8463,6.6751,6.8326,6.8600,0.0000,0.0000%
2001-09-06,6.8463,6.6751,6.8326,6.8600,-0.0562,-0.8142%
2001-09-05,6.9025,6.6869,6.8446,6.8721,-0.0545,-0.7834%
2001-09-04,6.9570,6.7590,6.9184,6.9461,0.0105,0.1512%
2001-09-03,6.9465,6.7973,6.9576,6.9855,0.0446,0.6462%
2001-08-31,6.9019,6.7572,6.9166,6.9443,0.0000,0.0000%
2001-08-30,6.9019,6.7572,6.9166,6.9443,0.0043,0.0623%
2001-08-29,6.8976,6.7144,6.8727,6.9003,0.0026,0.0377%
2001-08-28,6.8950,6.7227,6.8812,6.9088,0.0122,0.1773%
2001-08-27,6.8828,6.7321,6.8909,6.9185,0.0161,0.2345%
2001-08-24,6.8667,6.7316,6.8904,6.9180,0.0000,0.0000%
2001-08-23,6.8667,6.7316,6.8904,6.9180,-0.0321,-0.4653%
2001-08-22,6.8988,6.7007,6.8588,6.8862,0.0548,0.8007%
2001-08-21,6.8440,6.7406,6.8996,6.9273,-0.0247,-0.3596%
2001-08-20,6.8687,6.6817,6.8394,6.8668,-0.0252,-0.3655%
2001-08-17,6.8939,6.7075,6.8657,6.8932,0.0000,0.0000%
2001-08-16,6.8939,6.7075,6.8657,6.8932,0.0886,1.3019%
2001-08-15,6.8053,6.7437,6.9028,6.9304,0.0492,0.7282%
2001-08-14,6.7561,6.6213,6.7775,6.8047,0.0004,0.0059%
2001-08-13,6.7557,6.5868,6.7422,6.7692,0.0627,0.9368%
2001-08-10,6.6930,6.6086,6.7645,6.7916,0.0000,0.0000%
2001-08-09,6.6930,6.6086,6.7645,6.7916,-0.0030,-0.0448%
2001-08-08,6.6960,6.5286,6.6826,6.7094,0.0116,0.1735%
2001-08-07,6.6844,6.5333,6.6874,6.7142,0.0026,0.0389%
2001-08-06,6.6818,6.5147,6.6684,6.6951,0.0092,0.1379%
2001-08-03,6.6726,6.5240,6.6779,6.7047,0.0363,0.5470%
2001-08-02,6.6363,6.5240,6.6779,6.7047,0.0118,0.1781%
2001-08-01,6.6245,6.4777,6.6306,6.6571,0.0043,0.0650%
2001-07-31,6.6202,6.4548,6.6070,6.6335,-0.0268,-0.4032%
2001-07-30,6.6470,6.4494,6.6015,6.6280,-0.0421,-0.6294%
2001-07-27,6.6891,6.5219,6.6757,6.7025,0.0000,0.0000%
2001-07-26,6.6891,6.5219,6.6757,6.7025,0.0390,0.5865%
2001-07-25,6.6501,6.5292,6.6832,6.7100,-0.0149,-0.2236%
2001-07-24,6.6650,6.4984,6.6517,6.6784,-0.0302,-0.4511%
2001-07-23,6.6952,6.4877,6.6408,6.6674,0.0280,0.4200%
2001-07-20,6.6672,6.5383,6.6925,6.7193,0.0000,0.0000%
2001-07-19,6.6672,6.5383,6.6925,6.7193,0.0449,0.6780%
2001-07-18,6.6223,6.5129,6.6665,6.6932,0.0310,0.4703%
2001-07-17,6.5913,6.4617,6.6141,6.6406,-0.0328,-0.4952%
2001-07-16,6.6241,6.4332,6.5849,6.6113,-0.0331,-0.4972%
2001-07-13,6.6572,6.5151,6.6688,6.6956,0.0000,0.0000%
2001-07-12,6.6572,6.5151,6.6688,6.6956,0.0755,1.1471%
2001-07-11,6.5817,6.4884,6.6415,6.6681,0.0015,0.0228%
2001-07-10,6.5802,6.4378,6.5896,6.6161,-0.0002,-0.0030%
2001-07-09,6.5804,6.4365,6.5884,6.6148,-0.0577,-0.8692%
2001-07-06,6.6381,6.4204,6.5718,6.5982,0.0000,0.0000%
2001-07-05,6.6381,6.4204,6.5718,6.5982,-0.0113,-0.1699%
2001-07-04,6.6494,6.4832,6.6361,6.6627,-0.0177,-0.2655%
2001-07-03,6.6671,6.4883,6.6413,6.6679,0.0336,0.5065%
2001-07-02,6.6335,6.5026,6.6560,6.6827,-0.0661,-0.9866%
2001-06-29,6.6996,6.4675,6.6200,6.6466,0.0448,0.6732%
2001-06-28,6.6548,6.4674,6.6200,6.6465,-0.0248,-0.3713%
2001-06-27,6.6796,6.4933,6.6465,6.6731,-0.0074,-0.1107%
2001-06-26,6.6870,6.5198,6.6736,6.7003,0.0274,0.4114%
2001-06-25,6.6596,6.5106,6.6642,6.6909,-0.0206,-0.3084%
2001-06-22,6.6802,6.4757,6.6284,6.6550,0.0000,0.0000%
2001-06-21,6.6802,6.4757,6.6284,6.6550,-0.0393,-0.5849%
2001-06-20,6.7195,6.5150,6.6686,6.6954,0.0032,0.0476%
2001-06-19,6.7163,6.5695,6.7245,6.7514,0.0007,0.0104%
2001-06-18,6.7156,6.5477,6.7022,6.7290,-0.0703,-1.0360%
2001-06-15,6.7859,6.6464,6.8032,6.8304,0.0000,0.0000%
2001-06-14,6.7859,6.6464,6.8032,6.8304,0.0065,0.0959%
2001-06-13,6.7794,6.6098,6.7658,6.7929,-0.0258,-0.3791%
2001-06-12,6.8052,6.6350,6.7915,6.8188,-0.0436,-0.6366%
2001-06-11,6.8488,6.6216,6.7778,6.8050,-0.0492,-0.7133%
2001-06-08,6.8980,6.7036,6.8617,6.8892,0.0000,0.0000%
2001-06-07,6.8980,6.7036,6.8617,6.8892,0.0352,0.5129%
2001-06-06,6.8628,6.7185,6.8770,6.9046,-0.0701,-1.0111%
2001-06-05,6.9329,6.7118,6.8702,6.8977,-0.0068,-0.0980%
2001-06-04,6.9397,6.7662,6.9258,6.9536,0.0412,0.5972%
2001-06-01,6.8985,6.7696,6.9293,6.9571,0.0000,0.0000%
2001-05-31,6.8985,6.7696,6.9293,6.9571,0.0211,0.3068%
2001-05-30,6.8774,6.7055,6.8637,6.8912,0.0431,0.6306%
2001-05-29,6.8343,6.7165,6.8749,6.9025,-0.0262,-0.3819%
2001-05-28,6.8605,6.6569,6.8140,6.8413,-0.0405,-0.5869%
2001-05-25,6.9010,6.7284,6.8871,6.9148,0.0000,0.0000%
2001-05-24,6.9010,6.7284,6.8871,6.9148,0.1289,1.9034%
2001-05-23,6.7721,6.7263,6.8849,6.9125,0.0293,0.4345%
2001-05-22,6.7428,6.5742,6.7293,6.7562,-0.0566,-0.8324%
2001-05-09,6.7994,6.6001,6.7558,6.7828,0.0593,0.8798%
2001-04-28,6.7401,6.5051,6.6585,6.6852,0.0296,0.4411%
2001-04-27,6.7105,6.5042,6.6576,6.6843,-0.0729,-1.0747%
2001-04-26,6.7834,6.5445,6.6988,6.7257,0.0040,0.0590%
2001-04-24,6.7794,6.6075,6.7634,6.7905,0.1253,1.8830%
2001-04-18,6.6541,6.6130,6.7690,6.7962,0.0087,0.1309%
2001-04-16,6.6454,6.4793,6.6322,6.6587,0.0038,0.0572%
2001-04-12,6.6416,6.5251,6.6790,6.7058,-0.0301,-0.4512%
2001-04-11,6.6717,6.4684,6.6210,6.6475,0.0380,0.5728%
2001-04-10,6.6337,6.4866,6.6396,6.6662,-0.0039,-0.0588%
2001-04-09,6.6376,6.4473,6.5994,6.6258,0.0307,0.4647%
2001-04-06,6.6069,6.5071,6.6606,6.6873,-0.0172,-0.2597%
2001-04-05,6.6241,6.4983,6.6516,6.6782,0.0497,0.7560%
2001-04-04,6.5744,6.4371,6.5889,6.6153,0.0276,0.4216%
2001-04-03,6.5468,6.4269,6.5785,6.6049,-0.0425,-0.6450%
2001-04-02,6.5893,6.3684,6.5186,6.5447,-0.0639,-0.9604%
2001-03-30,6.6532,6.3977,6.5487,6.5749,-0.1301,-1.9179%
2001-03-28,6.7833,6.5970,6.7526,6.7797,0.0374,0.5544%
2001-03-27,6.7459,6.6021,6.7578,6.7849,0.0460,0.6866%
2001-03-26,6.6999,6.5820,6.7373,6.7643,0.0056,0.0837%
2001-03-23,6.6943,6.5269,6.6809,6.7077,-0.0252,-0.3750%
2001-03-21,6.7195,6.5351,6.6892,6.7161,-0.0160,-0.2375%
2001-03-20,6.7355,6.6058,6.7616,6.7887,0.0211,0.3142%
2001-03-19,6.7144,6.5676,6.7225,6.7495,-0.1355,-1.9781%
2001-03-16,6.8499,6.5985,6.7542,6.7813,-0.0528,-0.7649%
2001-03-14,6.9027,6.6701,6.8275,6.8548,0.0196,0.2848%
2001-03-13,6.8831,6.7424,6.9015,6.9291,0.0139,0.2024%
2001-03-12,6.8692,6.6975,6.8554,6.8829,-0.0101,-0.1468%
2001-03-09,6.8793,6.7380,6.8969,6.9246,-0.0900,-1.2914%
2001-03-07,6.9693,6.7270,6.8857,6.9133,0.0023,0.0330%
2001-03-06,6.9670,6.7928,6.9530,6.9809,0.0212,0.3052%
2001-03-05,6.9458,6.7722,6.9319,6.9597,-0.1039,-1.4738%
2001-03-02,7.0497,6.8735,7.0356,7.0638,0.0000,0.0000%
2001-03-01,7.0497,6.8735,7.0356,7.0638,-0.0657,-0.9233%
2001-02-28,7.1154,6.8739,7.0361,7.0643,-0.0177,-0.2481%
2001-02-27,7.1331,6.9435,7.1073,7.1358,-0.0059,-0.0826%
2001-02-26,7.1390,6.9300,7.0935,7.1219,0.0349,0.4913%
2001-02-23,7.1041,6.8933,7.0559,7.0842,0.0000,0.0000%
2001-02-22,7.1041,6.8933,7.0559,7.0842,-0.0569,-0.7946%
2001-02-21,7.1610,6.9240,7.0873,7.1157,0.0350,0.4912%
2001-02-20,7.1260,6.9754,7.1399,7.1685,-0.0209,-0.2924%
2001-02-19,7.1469,6.9551,7.1192,7.1477,0.0286,0.4018%
2001-02-16,7.1183,6.9869,7.1518,7.1804,0.0000,0.0000%
2001-02-15,7.1183,6.9869,7.1518,7.1804,0.0292,0.4119%
2001-02-14,7.0891,6.9451,7.1089,7.1374,0.0314,0.4449%
2001-02-13,7.0577,6.9042,7.0670,7.0954,0.0304,0.4326%
2001-02-12,7.0273,6.8732,7.0353,7.0635,-0.0768,-1.0811%
2001-02-11,7.1041,6.8589,7.0207,7.0488,-0.0341,-0.4777%
2001-02-05,7.1382,7.0352,7.2012,7.2300,-0.0175,-0.2446%
2001-02-04,7.1557,6.9768,7.1414,7.1700,0.0649,0.9153%
2001-02-01,7.0908,6.9740,7.1385,7.1671,-0.0028,-0.0395%
2001-01-30,7.0936,6.9691,7.1335,7.1621,-0.0012,-0.0169%
2001-01-23,7.0948,6.9353,7.0989,7.1273,0.0000,0.0000%
2001-01-22,7.0948,6.9353,7.0989,7.1273,0.0226,0.3196%
2001-01-21,7.0722,6.8954,7.0580,7.0863,0.1386,1.9990%
2001-01-18,6.9336,6.8339,6.9951,7.0232,-0.1130,-1.6036%
2001-01-17,7.0466,6.7856,6.9457,6.9736,0.0582,0.8328%
2001-01-16,6.9884,6.8567,7.0185,7.0466,0.0314,0.4513%
2001-01-15,6.9570,6.7830,6.9431,6.9709,-0.0764,-1.0862%
2001-01-14,7.0334,6.8138,6.9745,7.0025,-0.0475,-0.6708%
2001-01-11,7.0809,6.8481,7.0096,7.0377,-0.0017,-0.0240%
2001-01-10,7.0826,6.9324,7.0959,7.1243,-0.0506,-0.7094%
2001-01-09,7.1332,6.9035,7.0663,7.0947,0.0326,0.4591%
2001-01-08,7.1006,6.9486,7.1126,7.1411,0.0119,0.1679%
2001-01-07,7.0887,6.9222,7.0855,7.1139,-0.1751,-2.4106%
2001-01-04,7.2638,6.9802,7.1448,7.1734,0.0321,0.4439%
2001-01-03,7.2317,7.1048,7.2724,7.3016,0.0053,0.0733%
