ÈÕÆÚ,ÖÐ¼ä¼Û,³®Âò¼Û,»ãÂò¼Û,³®/»ãÂô¼Û,ÕÇµø¶î,ÕÇµø·ù
2008-12-31,7.5650,7.3665,7.5251,7.5856,0.0446,0.5931%
2008-12-30,7.5204,7.3877,7.5468,7.6074,-0.0170,-0.2255%
2008-12-29,7.5374,7.3792,7.5381,7.5987,0.0094,0.1249%
2008-12-26,7.5280,7.3715,7.5303,7.5908,-0.0313,-0.4141%
2008-12-25,7.5593,7.3723,7.5311,7.5916,0.0191,0.2533%
2008-12-24,7.5402,7.3833,7.5424,7.6029,-0.0409,-0.5395%
2008-12-23,7.5811,7.4048,7.5643,7.6251,-0.0206,-0.2710%
2008-12-22,7.6017,7.4487,7.6092,7.6703,-0.0075,-0.0986%
2008-12-19,7.6092,7.5114,7.6732,7.7348,-0.2053,-2.6272%
2008-12-18,7.8145,7.5519,7.7145,7.7765,0.1340,1.7447%
2008-12-17,7.6805,7.5407,7.7032,7.7650,0.1255,1.6612%
2008-12-16,7.5550,7.3972,7.5565,7.6172,0.0471,0.6273%
2008-12-15,7.5079,7.3683,7.5270,7.5875,0.0302,0.4039%
2008-12-12,7.4777,7.2905,7.4475,7.5073,0.0854,1.1553%
2008-12-11,7.3923,7.2312,7.3870,7.4463,-0.0028,-0.0379%
2008-12-10,7.3951,7.2261,7.3818,7.4411,0.0294,0.3991%
2008-12-09,7.3657,7.2429,7.3989,7.4584,-0.0255,-0.3450%
2008-12-08,7.3912,7.1829,7.3377,7.3966,-0.0111,-0.1500%
2008-12-05,7.4023,7.2908,7.4478,7.5076,0.0527,0.7170%
2008-12-04,7.3496,7.2320,7.3878,7.4471,-0.0210,-0.2849%
2008-12-03,7.3706,7.2122,7.3675,7.4267,0.0603,0.8249%
2008-12-02,7.3103,7.1983,7.3533,7.4124,0.1238,1.7227%
2008-12-01,7.1865,7.1220,7.2754,7.3338,0.0277,0.3869%
2008-11-28,7.1588,6.9927,7.1433,7.2007,-0.0019,-0.0265%
2008-11-27,7.1607,6.9831,7.1335,7.1908,-0.0236,-0.3285%
2008-11-26,7.1843,6.9974,7.1481,7.2055,0.1189,1.6828%
2008-11-25,7.0654,6.9355,7.0849,7.1418,-0.1060,-1.4781%
2008-11-24,7.1714,6.9793,7.1296,7.1869,-0.0802,-1.1060%
2008-11-21,7.2516,6.9852,7.1356,7.1929,0.1240,1.7397%
2008-11-20,7.1276,6.9781,7.1284,7.1856,0.0528,0.7463%
2008-11-19,7.0748,6.8830,7.0313,7.0877,-0.0030,-0.0424%
2008-11-18,7.0778,6.9105,7.0594,7.1161,-0.0013,-0.0184%
2008-11-17,7.0791,6.8752,7.0233,7.0797,0.0466,0.6626%
2008-11-14,7.0325,6.8528,7.0004,7.0566,-0.1102,-1.5428%
2008-11-13,7.1427,6.9361,7.0855,7.1424,0.1428,2.0400%
2008-11-12,6.9999,6.8188,6.9657,7.0216,-0.0009,-0.0129%
2008-11-11,7.0008,6.8075,6.9542,7.0100,0.1192,1.7322%
2008-11-10,6.8816,6.7126,6.8572,6.9123,-0.1515,-2.1541%
2008-11-07,7.0331,6.8406,6.9879,7.0440,0.0785,1.1287%
2008-11-06,6.9546,6.7973,6.9437,6.9995,0.1125,1.6442%
2008-11-05,6.8421,6.7464,6.8917,6.9470,-0.0474,-0.6880%
2008-11-04,6.8895,6.7384,6.8835,6.9388,-0.0458,-0.6604%
2008-11-03,6.9353,6.7048,6.8493,6.9043,-0.0110,-0.1584%
2008-10-31,6.9463,6.8775,7.0256,7.0821,0.0153,0.2207%
2008-10-30,6.9310,6.7817,6.9278,6.9834,-0.0495,-0.7091%
2008-10-29,6.9805,6.8671,7.0150,7.0713,-0.3383,-4.6223%
2008-10-28,7.3188,7.0413,7.1929,7.2507,0.0577,0.7946%
2008-10-27,7.2611,7.1874,7.3422,7.4012,0.2325,3.3079%
2008-10-24,7.0286,7.2312,7.3870,7.4463,0.0237,0.3383%
2008-10-23,7.0049,6.8263,6.9733,7.0293,0.1989,2.9224%
2008-10-22,6.8060,6.7460,6.8913,6.9467,0.1048,1.5639%
2008-10-21,6.7012,6.5734,6.7150,6.7690,-0.0084,-0.1252%
2008-10-20,6.7096,6.5169,6.6573,6.7107,-0.0136,-0.2023%
2008-10-17,6.7232,6.6093,6.7516,6.8059,-0.1053,-1.5421%
2008-10-16,6.8285,6.6397,6.7827,6.8372,0.1115,1.6600%
2008-10-15,6.7170,6.5829,6.7247,6.7787,0.0755,1.1368%
2008-10-14,6.6415,6.5111,6.6514,6.7048,-0.1374,-2.0269%
2008-10-13,6.7789,6.6293,6.7721,6.8265,-0.1221,-1.7693%
2008-10-10,6.9010,6.7325,6.8775,6.9327,0.0580,0.8476%
2008-10-09,6.8430,6.5889,6.7308,6.7849,0.1174,1.7456%
2008-10-08,6.7256,6.6550,6.7983,6.8529,-0.0003,-0.0045%
2008-10-07,6.7259,6.5392,6.6801,6.7337,0.1786,2.7278%
2008-10-06,6.5473,6.4329,6.5714,6.6242,0.1177,1.8306%
2008-09-26,6.4296,6.3057,6.4415,6.4932,-0.0020,-0.0311%
2008-09-25,6.4316,6.2706,6.4056,6.4571,-0.0289,-0.4473%
2008-09-24,6.4605,6.2637,6.3986,6.4500,-0.0015,-0.0232%
