ÈÕÆÚ,ÖÐ¼ä¼Û,³®Âò¼Û,»ãÂò¼Û,³®/»ãÂô¼Û,ÕÇµø¶î,ÕÇµø·ù
2010-12-31,8.1260,7.8203,8.0694,8.1342,-0.0137,-0.1683%
2010-12-30,8.1397,7.8172,8.0663,8.1311,0.0946,1.1759%
2010-12-29,8.0451,7.7822,8.0301,8.0946,0.0325,0.4056%
2010-12-28,8.0126,7.7577,8.0049,8.0692,0.0187,0.2339%
2010-12-27,7.9939,7.7331,7.9794,8.0435,0.0085,0.1064%
2010-12-24,7.9854,7.7152,7.9610,8.0250,0.0311,0.3910%
2010-12-23,7.9543,7.7246,7.9706,8.0347,0.0135,0.1700%
2010-12-22,7.9408,7.6697,7.9141,7.9776,-0.0106,-0.1333%
2010-12-21,7.9514,7.6774,7.9220,7.9856,0.0300,0.3787%
2010-12-20,7.9214,7.6876,7.9325,7.9962,-0.0059,-0.0744%
2010-12-17,7.9273,7.6506,7.8943,7.9577,0.0181,0.2288%
2010-12-16,7.9092,7.6255,7.8684,7.9316,-0.0290,-0.3653%
2010-12-15,7.9382,7.6473,7.8909,7.9543,-0.0253,-0.3177%
2010-12-14,7.9635,7.7112,7.9569,8.0208,0.0233,0.2934%
2010-12-13,7.9402,7.6611,7.9051,7.9686,-0.0063,-0.0793%
2010-12-10,7.9465,7.6817,7.9264,7.9901,0.0044,0.0554%
2010-12-09,7.9421,7.6514,7.8952,7.9586,-0.0287,-0.3601%
2010-12-08,7.9708,7.6560,7.8999,7.9634,-0.0879,-1.0907%
2010-12-07,8.0587,7.7596,8.0068,8.0711,0.0308,0.3837%
2010-12-06,8.0279,7.7609,8.0081,8.0724,0.0736,0.9253%
2010-12-03,7.9543,7.6896,7.9345,7.9983,0.0295,0.3722%
2010-12-02,7.9248,7.6501,7.8938,7.9572,-0.0616,-0.7713%
2010-12-01,7.9864,7.6786,7.9232,7.9868,0.0574,0.7239%
2010-11-30,7.9290,7.6592,7.9032,7.9666,0.0013,0.0164%
2010-11-29,7.9277,7.6519,7.8957,7.9591,-0.0204,-0.2567%
2010-11-26,7.9481,7.6641,7.9082,7.9717,-0.0266,-0.3336%
2010-11-25,7.9747,7.6847,7.9295,7.9932,-0.0153,-0.1915%
2010-11-24,7.9900,7.7292,7.9754,8.0395,0.0139,0.1743%
2010-11-23,7.9761,7.6702,7.9145,7.9781,0.0277,0.3485%
2010-11-22,7.9484,7.6785,7.9231,7.9868,0.0006,0.0075%
2010-11-19,7.9478,7.6981,7.9434,8.0072,-0.0410,-0.5132%
2010-11-18,7.9888,7.6993,7.9445,8.0083,0.0173,0.2170%
2010-11-17,7.9715,7.6819,7.9266,7.9903,-0.0195,-0.2440%
2010-11-16,7.9910,7.7002,7.9455,8.0093,-0.0452,-0.5625%
2010-11-15,8.0362,7.7346,7.9810,8.0451,-0.0040,-0.0498%
2010-11-12,8.0402,7.8037,8.0523,8.1170,-0.0140,-0.1738%
2010-11-11,8.0542,7.7791,8.0269,8.0914,-0.0777,-0.9555%
2010-11-10,8.1319,7.8311,8.0805,8.1455,-0.0666,-0.8123%
2010-11-09,8.1985,7.9543,8.2077,8.2736,-0.0153,-0.1863%
2010-11-08,8.2138,7.9531,8.2065,8.2724,-0.0122,-0.1483%
2010-11-05,8.2260,7.9635,8.2172,8.2832,0.0112,0.1363%
2010-11-04,8.2148,7.9463,8.1995,8.2653,-0.0717,-0.8653%
2010-11-03,8.2865,7.9758,8.2298,8.2959,-0.0143,-0.1723%
2010-11-02,8.3008,7.9807,8.2350,8.3011,0.0013,0.0157%
2010-11-01,8.2995,8.0371,8.2932,8.3598,0.0347,0.4199%
2010-10-29,8.2648,7.9721,8.2261,8.2922,0.0547,0.6663%
2010-10-28,8.2101,7.9402,8.1932,8.2590,-0.0010,-0.0122%
2010-10-27,8.2111,7.9027,8.1545,8.2200,-0.0582,-0.7038%
2010-10-26,8.2693,7.9315,8.1842,8.2500,0.0479,0.5826%
2010-10-25,8.2214,7.9730,8.2270,8.2931,0.0029,0.0353%
2010-10-22,8.2185,7.9063,8.1582,8.2237,-0.0058,-0.0705%
2010-10-21,8.2243,7.9258,8.1783,8.2440,0.0221,0.2694%
2010-10-20,8.2022,7.9025,8.1542,8.2197,0.0065,0.0793%
2010-10-19,8.1957,7.8783,8.1292,8.1945,0.0156,0.1907%
2010-10-18,8.1801,7.8989,8.1505,8.2160,0.0270,0.3312%
2010-10-15,8.1531,7.8670,8.1176,8.1828,-0.0080,-0.0980%
2010-10-14,8.1611,7.9233,8.1757,8.2414,0.0134,0.1645%
2010-10-13,8.1477,7.8608,8.1113,8.1764,0.0237,0.2917%
2010-10-12,8.1240,7.8459,8.0959,8.1609,-0.0036,-0.0443%
2010-10-11,8.1276,7.8465,8.0965,8.1615,0.0236,0.2912%
